"measbefore","measafter"
"/","per"
"m","meters"
"km","kilometers"
"%","percent"
"GB","gigabytes"
"/km","per kilometers"
"mi","miles"
"/km²","per square kilometers"
"ft","feet"
"kg","kilograms"
"lb","pounds"
"sq mi","square miles"
"mph","miles per hour"
"km/h","kilometers per hour"
"nm","nanometers"
"ha","hectares"
"km²","square kilometers"
"mL","milliliters"
"ha","hectares"
"mm","millimeters"
"m³/s","cubic meters per second"
"percent","percent"
"km","kilometers"
"lbs","pounds"
"cc","c c"
"ft","feet"
"ch","chains"
"m","meters"
"hp","horsepower"
"kW","kilowatts"
"lbs","pounds"
"cm","centimeters"
"yd","yards"
"/h","per hour"
"cc","c c"
"MW","megawatts"
"mm","millimeters"
"""","inches"
"hrs","hours"
"per km","per kilometers"
"/m","per meters"
"nm","nanometers"
"'","feet"
"mA","milli amperes"
"per km²","per square kilometers"
"KB","kilobytes"
"ml","milliliters"
"TB","terabytes"
"KC","kilo coulombs"
"Gs","giga s"
"cm","centimeters"
"MB","megabytes"
"pH","pico henrys"
"-kg","minus kilograms"
"sq ft","square feet"
"MHz","megahertz"
"rpm","revolutions per minute"
"½in","and a half inches"
"GHz","gigahertz"
"kph","kilometers per hour"
"rpm","revolutions per minute"
"/hp","of a horsepower"
"mg","milligrams"
"μg","micrograms"
"kV","kilo volts"
"Hz","hertz"
"μm","micrometers"
"ft/s","foot per second"
"Km","kilometers"
"g","grams"
"kB","kilobytes"
"yr","years"
"kcal/mol","kilo calories per mole"
"pc","percent"
"MPa","megapascals"
"atm","atmospheres"
"cwt","w"
"in","inches"
"m²","square meters"
"/mi²","per square miles"
"/year","per year"
"V","volts"
"GB","gigabytes"
"yrs","years"
"m²","square meters"
"m/h","meters per hour"
"µg","micrograms"
"Ms","mega second"
"/s","per second"
"KiB","Kilobyte"
"cd","candelas"
"mV","milli volts"
"μs","micros"
"KA","kilo amperes"
"½mm","and a half millimeters"
"kN","kilonewtons"
"GL","giga liters"
"PW","peta watts"
"mg","milligrams"
"TWh","tera watt hours"
"ft/min","foot per minute"
"GW","gigawatts"
"m/s","meters per second"
"bar","bars"
"kHz","kilohertz"
"ft/s","feet per second"
"-%","minus percent"
"Pg","peta grams"
"V","volts"
"ha","hectares"
"MN","mega newtons"
"oz","ounces"
"mi²","square miles"
"/kg","per kilogram"
"ks","kilo second"
"cwt","w"
"µm","micrometers"
"km²","square kilometers"
"AU","astronomical units"
"Mb","megabits"
"hr","hour"
"kWh","kilo watt hours"
"g","grams"
"meters/second","meters per second"
"kg","kilograms"
"mAh","milli amp hours"
"TL","tera liters"
"cal","cal"
"g/cm","grams per c c"
"/day","per day"
"/ch","of a chain"
"ch","chains"
"st","stone"
"Da","daltons"
"Sv","sieverts"
"Mbps","megabits per second"
"hr","hours"
"mg/kg","milligrams per kilogram"
"MW","megawatts"
"MiB","1.60 MiB"
"kg/m","kilograms per cubic meter"
"MB","megabytes"
"/st","over of a st"
"Gb","gigabits"
"kgf","kilograms force"
"m³","cubic meters"
"Mhz","megahertz"
"Mb","megabits"
"kb","kilobits"
"ms","milliseconds"
"MC","mega coulombs"
"Hz","hertz"
"/mm","per millimeter"
"dB","decibels"
"per m","per meter"
"kb","kilobits"
"Km","kilometers"
"degrees C","degrees celsius"
"Wh","watt hours"
"dA","deci amperes"
"hrs","hours"
"dm","deci meter"
"MB/s","megabytes per second"
"eV","electron volts"
"million/kg","million per kg"
"ML","mega liters"
"GWh","giga watt hours"
"liters/second","liters per second"
"GW","gigawatts"
"kV","kilo volts"
"½%","and a half percent"
"milliontonnes/year","1.2 tonnes/year"
"/kV","of a kilo volt"
"⅓rpm","and third revolutions per minute"
"Gs","giga seconds"
"AU","astronomical units"
"/month","per month"
"GHz","gigahertz"
"GiB","64 GiB"
"tons/hour","tons per hour"
"millionm³","26.4 m³"
"km/km","kilometers per square kilometers"
"sq","square"
"MA","mega amperes"
"ms","milliseconds"
"/mi²","per square mile"
"/km²","per square kilometers"
"GWh","giga watt hours"
"m","meters"
"TW","tera watts"
"kg/m²","kilograms per square meter"
"GL","giga liters"
"-kg","minus kilograms"
"hp","horsepower"
"kW","kilowatts"
"-mV","minus milli volts"
"MV","mega volts"
"/second","per second"
"-m","minus meters"
"MN","mega newtons"
"MiB","512MiB"
"nl","nano liters"
"-kl","minus kilo liters"
"/cm","per centimeter"
"Pb","peta bits"
"ml","milliliters"
"Pa","pascals"
"/percent","of a percent"
"Ms","mega seconds"
"hz","hertz"
"¾m","and quarters meters"
"kJ/mol","kilo joule per mole"
"hl","hecto liters"
"Gm","giga meters"
"kt","knots"
"percent","percent"
"-MW","minus megawatts"
"m³","cubic meters"
"/PN","s of a peta newton"
"MC","mega coulombs"
"Klm","kilo lumens"
"gal","gallons"
"st","st"
"millionft","4.6 ft"
"mbar","millibars"
"kPa","kilopascals"
"bbl","barrels"
"/mi","per mile"
"KB","kilobytes"
"mHz","milli hertz"
"KV","kilo volts"
"MJ","mega joules"
"Ω","ohms"
"MA","mega amperes"
"/kB","ths of a kilobyte"
"KW","kilowatts"
"mm","millimeters"
"kJ/mol","kilo joules per mole"
"Nm","newton meters"
"h","hours"
"s","seconds"
"mg/m","milligrams per cubic meter"
"sq","square"
"Ps","peta seconds"
"kts","knots"
"/minute","per minute"
"yr","years"
"ly","light years"
"pc","percent"
"per Kg","per kilogram"
"g/cm","gram per c c"
"Kb","kilobits"
"-Ts","minus tera seconds"
"KHz","kilohertz"
"½hp","and a half horsepower"
"GPa","giga pascals"
"TB","terabytes"
"-Gs","minus giga seconds"
"lb","pounds"
"/%","and a percent"
"TW","tera watts"
"mm","millimeters"
"kWh/kg","kilo watt hours per kilogram"
"billionkWh","12 kWh"
"perkm²","per square kilometers"
"MWh","mega watt hours"
"Bq/m","becquerels per cubic meter"
"g/kg","grams per kilogram"
"yrs","years"
"cc","c c"
"kA","kilo amperes"
"dF","deci farads"
"kJ/kg","kilo joules per kilogram"
"Mg","mega grams"
"sqft","square feet"
"dB","decibels"
"kmM","kilometers"
"Ks","kilo s"
"Gb/s","gigabits per second"
"/h","per hour"
"/m","per meter"
"per km²","per square kilometers"
"ft/s","ft per second"
"/km²","per square kilometers"
"/year","per year"
"/s","per second"
"ft/min","feet per minute"
"/kg","per kilograms"
"/day","per day"
"/mm","per millimeter"
"tonnes/year","tonnes per year"
"/month","per month"
"/second","per second"
"/cm","per centimeter"
"kJ/mol","kilojoules per mole"
"/minute","per minute"
"per Kg","per kilogram"
"sq ft","square feet"
"kg/m³","kilograms per cubic meter"
